t; x; y; theta
11956856.317000; -0.02; 0.00; 0.00
11972333.982000; -0.02; 0.00; 0.00
11988334.060000; -0.02; 0.00; 0.00
12003734.551000; -0.03; 0.00; 0.00
12019528.039000; -0.03; 0.00; 0.00
12035307.279000; -0.03; 0.00; 0.00
12052267.884000; -0.04; 0.00; 0.00
12067031.982000; -0.04; 0.00; 0.00
12082343.425000; -0.04; 0.00; 0.00
12097878.081000; -0.05; 0.00; 0.00
12114349.518000; -0.05; 0.00; 0.00
12130752.091000; -0.05; 0.00; 0.00
12146580.011000; -0.06; 0.00; 0.00
12162565.841000; -0.06; 0.00; 0.00
12178337.958000; -0.06; 0.00; 0.00
12193953.350000; -0.06; 0.00; 0.00
12210240.755000; -0.07; 0.00; 0.00
12225727.919000; -0.07; 0.00; 0.00
12242086.563000; -0.07; 0.00; 0.00
12258201.809000; -0.08; 0.00; 0.00
12273797.017000; -0.08; 0.00; 0.00
12291934.239000; -0.08; 0.00; 0.00
12308408.050000; -0.09; 0.00; 0.00
12323414.357000; -0.09; 0.00; 0.00
12339498.734000; -0.09; 0.00; 0.00
12355489.313000; -0.08; 0.00; 0.00
12371325.544000; -0.08; 0.00; 0.00
12387395.673000; -0.08; 0.00; 0.00
12403491.923000; -0.08; 0.00; 0.00
12419220.109000; -0.07; 0.00; 0.00
12435232.060000; -0.07; 0.00; 0.00
12451335.434000; -0.07; 0.00; 0.00
12466403.480000; -0.07; 0.00; 0.00
12482746.688000; -0.06; 0.00; 0.00
12498521.179000; -0.06; 0.00; 0.00
12515099.473000; -0.06; 0.00; 0.00
12530565.266000; -0.06; 0.00; 0.00
12546343.319000; -0.05; 0.00; 0.00
12562170.051000; -0.05; 0.00; 0.00
12578602.307000; -0.05; 0.00; 0.00
12593779.585000; -0.05; 0.00; 0.00
12611080.946000; -0.04; 0.00; 0.00
12626667.843000; -0.04; 0.00; 0.00
12642003.032000; -0.04; 0.00; 0.00
12657623.174000; -0.04; 0.00; 0.00
12674400.935000; -0.03; 0.00; 0.00
12690215.794000; -0.03; 0.00; 0.00
12706621.929000; -0.03; 0.00; 0.00
12722754.985000; -0.02; 0.00; 0.00
12738343.070000; -0.02; 0.00; 0.00
12754641.161000; -0.02; 0.00; 0.00
12770630.553000; -0.02; 0.00; 0.00
12788017.400000; -0.01; 0.00; 0.00
12803464.196000; -0.01; 0.00; 0.00
12821297.468000; -0.01; 0.00; 0.00
12834300.796000; -0.01; 0.00; 0.00
12850140.589000; -0.00; 0.00; 0.00
12869416.433000; -0.00; 0.00; 0.00
12884951.089000; 0.00; 0.00; 0.00
12900048.817000; 0.00; 0.00; 0.00
12916023.962000; 0.01; 0.00; 0.00
12931788.955000; 0.01; 0.00; 0.00
12946979.293000; 0.01; 0.00; 0.00
12964193.981000; 0.01; 0.00; 0.00
12979467.431000; 0.02; 0.00; 0.00
12994952.220000; 0.02; 0.00; 0.00
13010488.063000; 0.02; 0.00; 0.00
13025952.668000; 0.02; 0.00; 0.00
13042086.912000; 0.03; 0.00; 0.00
13057796.101000; 0.03; 0.00; 0.00
13074180.865000; 0.03; 0.00; 0.00
13090017.096000; 0.03; 0.00; 0.00
13106555.021000; 0.04; 0.00; 0.00
13122441.119000; 0.04; 0.00; 0.00
13139742.480000; 0.04; 0.00; 0.00
13155345.999000; 0.04; 0.00; 0.00
13170431.855000; 0.05; 0.00; 0.00
13186300.143000; 0.05; 0.00; 0.00
13202632.665000; 0.05; 0.00; 0.00
13219617.017000; 0.05; 0.00; 0.00
13235309.584000; 0.06; 0.00; 0.00
13250964.157000; 0.06; 0.00; 0.00
13267432.032000; 0.06; 0.00; 0.00
13283683.818000; 0.06; 0.00; 0.00
13299816.875000; 0.07; 0.00; 0.00
13314882.546000; 0.07; 0.00; 0.00
13330355.463000; 0.07; 0.00; 0.00
13346782.969000; 0.07; 0.00; 0.00
13362540.838000; 0.06; 0.00; 0.00
13378320.078000; 0.06; 0.00; 0.00
13394843.756000; 0.06; 0.00; 0.00
13410298.863000; 0.06; 0.00; 0.00
13425948.687000; 0.06; 0.00; 0.00
13442194.537000; 0.05; 0.00; 0.00
13458210.050000; 0.05; 0.00; 0.00
13477216.376000; 0.05; 0.00; 0.00
13489692.543000; 0.05; 0.00; 0.00
13508422.228000; 0.05; 0.00; 0.00
13523727.735000; 0.05; 0.00; 0.00
13539396.556000; 0.04; 0.00; 0.00
13555648.342000; 0.04; 0.00; 0.00
13571756.465000; 0.04; 0.00; 0.00
13588396.498000; 0.04; 0.00; 0.00
13604552.113000; 0.04; 0.00; 0.00
13620148.509000; 0.03; 0.00; 0.00
13635746.092000; 0.03; 0.00; 0.00
13651508.710000; 0.03; 0.00; 0.00
13666539.950000; 0.03; 0.00; 0.00
13682966.269000; 0.03; 0.00; 0.00
13698751.446000; 0.02; 0.00; 0.00
13715164.705000; 0.02; 0.00; 0.00
13730344.358000; 0.02; 0.00; 0.00
13746387.179000; 0.02; 0.00; 0.00
13762122.489000; 0.02; 0.00; 0.00
13781328.282000; 0.01; 0.00; 0.00
13794050.220000; 0.01; 0.00; 0.00
13810353.060000; 0.01; 0.00; 0.00
13826862.491000; 0.01; 0.00; 0.00
13842425.642000; 0.01; 0.00; 0.00
13858545.637000; 0.01; 0.00; 0.00
13874004.306000; 0.00; 0.00; 0.00
13890245.407000; 0.00; 0.00; 0.00
13906111.320000; -0.00; 0.00; 0.00
13922490.147000; -0.00; 0.00; 0.00
13938335.876000; -0.00; 0.00; 0.00
13954332.392000; -0.01; 0.00; 0.00
13972982.528000; -0.01; 0.00; 0.00
13985975.171000; -0.01; 0.00; 0.00
14002483.414000; -0.01; 0.00; 0.00
14018494.178000; -0.01; 0.00; 0.00
14034496.631000; -0.02; 0.00; 0.00
14053469.713000; -0.02; 0.00; 0.00
14067787.385000; -0.02; 0.00; 0.00
14083483.514000; -0.02; 0.00; 0.00
14098538.500000; -0.02; 0.00; 0.00
14117544.826000; -0.03; 0.00; 0.00
14130533.907000; -0.03; 0.00; 0.00
14146541.109000; -0.03; 0.00; 0.00
14162506.755000; -0.03; 0.00; 0.00
14178557.888000; -0.03; 0.00; 0.00
14194309.820000; -0.04; 0.00; 0.00
14210603.161000; -0.04; 0.00; 0.00
14225968.033000; -0.04; 0.00; 0.00
14242152.143000; -0.04; 0.00; 0.00
